epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6295,1.01103,2.06931,1.71683,0.93584,1,0.995,0.87197,0.57725,1.30651,1.27785,0.091027,2.7e-05,2.7e-05
2,39.8764,0.81126,1.16297,1.42039,0.9725,1,0.995,0.94224,0.31283,1.00014,0.98557,0.0810567,5.67178e-05,5.67178e-05
3,58.9434,0.78659,0.91946,1.36447,0.98017,1,0.995,0.97567,0.21206,0.82163,0.92202,0.0710861,8.61387e-05,8.61387e-05
4,78.1759,0.66408,0.83145,1.3761,0.98368,1,0.995,0.982,0.23825,0.70879,0.95005,0.0611153,0.000115263,0.000115263
5,97.2664,0.65152,0.74289,1.36801,0.98787,1,0.995,0.995,0.2613,0.52576,0.98838,0.0511441,0.000144089,0.000144089
6,116.083,0.65745,0.66804,1.34531,0.98884,1,0.995,0.995,0.20637,0.45503,0.95227,0.0411726,0.000172619,0.000172619
7,134.952,0.6419,0.62636,1.47252,0.98884,1,0.995,0.995,0.20637,0.45503,0.95227,0.0312009,0.000200852,0.000200852
8,153.808,0.67274,0.61219,1.35304,0.98962,1,0.995,0.995,0.18352,0.37987,0.93543,0.0212288,0.000228788,0.000228788
9,172.497,0.59744,0.56006,1.28301,0.99009,1,0.995,0.995,0.16233,0.31014,0.9154,0.0112564,0.000256427,0.000256427
10,191.328,0.59073,0.54725,1.31419,0.99009,1,0.995,0.995,0.16233,0.31014,0.9154,0.00128377,0.000283769,0.000283769
11,210.155,0.66312,0.5386,1.43497,0.99049,1,0.995,0.995,0.23225,0.28598,0.93887,0.00028515,0.00028515,0.00028515
12,229.095,0.65023,0.56678,1.34338,0.99081,1,0.995,0.995,0.28621,0.29585,0.96358,0.000283665,0.000283665,0.000283665
13,251.598,0.55228,0.51803,1.2184,0.99081,1,0.995,0.995,0.28621,0.29585,0.96358,0.00028218,0.00028218,0.00028218
14,271.264,0.58102,0.53642,1.34412,0.99085,1,0.995,0.995,0.23758,0.28829,0.91477,0.000280695,0.000280695,0.000280695
15,290.344,0.5572,0.54751,1.30852,0.99101,1,0.995,0.995,0.22041,0.30017,0.90067,0.00027921,0.00027921,0.00027921
16,311.333,0.67741,0.53375,1.34212,0.99101,1,0.995,0.995,0.22041,0.30017,0.90067,0.000277725,0.000277725,0.000277725
17,330.268,0.52116,0.47707,1.3241,0.99117,1,0.995,0.995,0.20566,0.3089,0.90176,0.00027624,0.00027624,0.00027624
18,350.336,0.6334,0.53815,1.457,0.99117,1,0.995,0.995,0.20566,0.3089,0.90176,0.000274755,0.000274755,0.000274755
19,369.481,0.60513,0.48709,1.29309,0.9911,1,0.995,0.995,0.16543,0.31286,0.89759,0.00027327,0.00027327,0.00027327
20,388.783,0.57208,0.5272,1.18881,0.99115,1,0.995,0.995,0.15781,0.29369,0.90755,0.000271785,0.000271785,0.000271785
21,408.852,0.6128,0.52653,1.37151,0.99115,1,0.995,0.995,0.15781,0.29369,0.90755,0.0002703,0.0002703,0.0002703
22,428.151,0.48037,0.46439,1.19056,0.99126,1,0.995,0.995,0.18704,0.29965,0.92437,0.000268815,0.000268815,0.000268815
23,446.716,0.53077,0.47306,1.25201,0.99113,1,0.995,0.995,0.19129,0.28853,0.92861,0.00026733,0.00026733,0.00026733
24,465.247,0.45167,0.42009,1.19761,0.99113,1,0.995,0.995,0.19129,0.28853,0.92861,0.000265845,0.000265845,0.000265845
25,484.26,0.50175,0.51448,1.25589,0.99123,1,0.995,0.995,0.16339,0.27822,0.91164,0.00026436,0.00026436,0.00026436
26,511.631,0.5632,0.54096,1.26265,0.99123,1,0.995,0.995,0.16339,0.27822,0.91164,0.000262875,0.000262875,0.000262875
27,530.453,0.49845,0.48593,1.25674,0.99114,1,0.995,0.995,0.14198,0.27796,0.88923,0.00026139,0.00026139,0.00026139
28,549.142,0.50681,0.44939,1.20217,0.99122,1,0.995,0.995,0.14178,0.26631,0.87547,0.000259905,0.000259905,0.000259905
29,568.611,0.47388,0.47312,1.21935,0.99122,1,0.995,0.995,0.14178,0.26631,0.87547,0.00025842,0.00025842,0.00025842
30,587.617,0.51796,0.47955,1.21233,0.99129,1,0.995,0.995,0.15511,0.26339,0.87317,0.000256935,0.000256935,0.000256935
31,606.613,0.48259,0.44716,1.19755,0.99121,1,0.995,0.995,0.18317,0.28122,0.89012,0.00025545,0.00025545,0.00025545
32,625.73,0.59474,0.52457,1.32901,0.99121,1,0.995,0.995,0.18317,0.28122,0.89012,0.000253965,0.000253965,0.000253965
33,644.886,0.49877,0.43701,1.29786,0.9911,1,0.995,0.995,0.21846,0.28005,0.91757,0.00025248,0.00025248,0.00025248
34,663.739,0.42086,0.40544,1.17406,0.9911,1,0.995,0.995,0.21846,0.28005,0.91757,0.000250995,0.000250995,0.000250995
35,683.833,0.62391,0.59177,1.37705,0.9912,1,0.995,0.995,0.23125,0.27166,0.92931,0.00024951,0.00024951,0.00024951
36,704.565,0.44689,0.44908,1.14701,0.99121,1,0.995,0.995,0.22116,0.26214,0.922,0.000248025,0.000248025,0.000248025
37,724.475,0.53286,0.52258,1.27845,0.99121,1,0.995,0.995,0.22116,0.26214,0.922,0.00024654,0.00024654,0.00024654
38,743.628,0.51679,0.44103,1.3179,0.99111,1,0.995,0.995,0.21323,0.26174,0.91676,0.000245055,0.000245055,0.000245055
39,763.272,0.49413,0.47472,1.27564,0.99104,1,0.995,0.995,0.21521,0.26402,0.91982,0.00024357,0.00024357,0.00024357
40,783.916,0.58243,0.47922,1.30517,0.99104,1,0.995,0.995,0.21521,0.26402,0.91982,0.000242085,0.000242085,0.000242085
41,803.138,0.4736,0.42823,1.149,0.9911,1,0.995,0.995,0.24156,0.26878,0.93266,0.0002406,0.0002406,0.0002406
42,822.194,0.48507,0.44966,1.21917,0.9911,1,0.995,0.995,0.24156,0.26878,0.93266,0.000239115,0.000239115,0.000239115
43,843.117,0.43386,0.3988,1.14416,0.99104,1,0.995,0.995,0.2721,0.27506,0.94926,0.00023763,0.00023763,0.00023763
44,864.511,0.50295,0.44735,1.2264,0.99091,1,0.995,0.995,0.27951,0.27264,0.94423,0.000236145,0.000236145,0.000236145
45,883.769,0.47278,0.44048,1.2055,0.99091,1,0.995,0.995,0.27951,0.27264,0.94423,0.00023466,0.00023466,0.00023466
46,906.068,0.52594,0.51257,1.23842,0.99087,1,0.995,0.995,0.24974,0.26581,0.91544,0.000233175,0.000233175,0.000233175
47,928.505,0.49119,0.44037,1.25658,0.99099,1,0.995,0.995,0.21112,0.26509,0.89159,0.00023169,0.00023169,0.00023169
48,947.649,0.37885,0.37335,1.11989,0.99099,1,0.995,0.995,0.21112,0.26509,0.89159,0.000230205,0.000230205,0.000230205
49,966.63,0.45521,0.42963,1.21825,0.99082,1,0.995,0.995,0.17494,0.25636,0.885,0.00022872,0.00022872,0.00022872
50,989.899,0.47526,0.41182,1.23714,0.99082,1,0.995,0.995,0.17494,0.25636,0.885,0.000227235,0.000227235,0.000227235
51,1023.07,0.45829,0.40451,1.21115,0.9909,1,0.995,0.995,0.14963,0.24171,0.88609,0.00022575,0.00022575,0.00022575
52,1049.14,0.40426,0.42238,1.20721,0.99078,1,0.995,0.995,0.17247,0.23192,0.90546,0.000224265,0.000224265,0.000224265
