epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.247,1.14877,1.75038,2.01682,0.42749,1,0.745,0.68338,0.36867,1.40663,1.3048,0.084048,4.8e-05,4.8e-05
2,68.8983,0.83433,0.97729,1.82097,0.93205,1,0.995,0.94783,0.30048,1.21456,1.33376,0.0670985,9.85099e-05,9.85099e-05
3,99.7532,0.77936,0.81441,1.79371,0.96789,1,0.995,0.95137,0.30556,0.66723,1.40647,0.0501485,0.000148515,0.000148515
4,129.344,0.68119,0.68928,1.66425,0.97481,1,0.995,0.995,0.27241,0.50616,1.40313,0.033198,0.000198015,0.000198015
5,158.674,0.72974,0.66219,1.63845,0.97824,1,0.995,0.995,0.25271,0.39468,1.38651,0.016247,0.00024701,0.00024701
6,188.173,0.70122,0.61102,1.59052,0.98098,1,0.995,0.94864,0.29987,0.34177,1.37181,0.000292575,0.000292575,0.000292575
7,219.62,0.77165,0.6483,1.66613,0.9817,1,0.995,0.94696,0.34567,0.33637,1.39277,0.00029109,0.00029109,0.00029109
8,252.125,0.67669,0.59395,1.59697,0.98196,1,0.995,0.94611,0.35887,0.35192,1.41743,0.000289605,0.000289605,0.000289605
9,281.753,0.68907,0.666,1.59292,0.98193,1,0.995,0.94569,0.37474,0.3452,1.44604,0.00028812,0.00028812,0.00028812
10,314.91,0.6755,0.62727,1.62576,0.98146,1,0.995,0.94554,0.42006,0.40018,1.48687,0.000286635,0.000286635,0.000286635
11,350.18,0.62122,0.59429,1.52467,0.98147,1,0.995,0.94546,0.44132,0.40453,1.47019,0.00028515,0.00028515,0.00028515
12,383.266,0.57487,0.58156,1.54391,0.98154,1,0.995,0.9454,0.47952,0.45375,1.52438,0.000283665,0.000283665,0.000283665
13,417.879,0.62989,0.57644,1.55942,0.98185,1,0.995,0.94536,0.4586,0.45327,1.49802,0.00028218,0.00028218,0.00028218
14,449.922,0.60866,0.58791,1.46682,0.98169,1,0.995,0.94534,0.4244,0.424,1.44291,0.000280695,0.000280695,0.000280695
15,479.224,0.5936,0.56012,1.58609,0.9813,1,0.995,0.94532,0.35813,0.42898,1.33567,0.00027921,0.00027921,0.00027921
16,509.646,0.58327,0.53527,1.45509,0.9814,1,0.995,0.94534,0.34512,0.41437,1.29441,0.000277725,0.000277725,0.000277725
17,543.056,0.62117,0.55794,1.49405,0.98107,1,0.995,0.94537,0.32234,0.39578,1.24091,0.00027624,0.00027624,0.00027624
18,572.632,0.63061,0.58297,1.50742,0.98089,1,0.995,0.995,0.29471,0.37252,1.18357,0.000274755,0.000274755,0.000274755
19,603.856,0.57951,0.55207,1.45186,0.98031,1,0.995,0.995,0.27105,0.37724,1.17212,0.00027327,0.00027327,0.00027327
20,636.836,0.56377,0.52655,1.45281,0.9801,1,0.995,0.995,0.26136,0.37407,1.17897,0.000271785,0.000271785,0.000271785
21,666.267,0.56647,0.54687,1.51948,0.97961,1,0.995,0.995,0.24322,0.37766,1.18006,0.0002703,0.0002703,0.0002703
22,697.943,0.59152,0.53277,1.55742,0.97947,1,0.995,0.995,0.18951,0.37617,1.17142,0.000268815,0.000268815,0.000268815
23,728.502,0.53521,0.49946,1.45501,0.97933,1,0.995,0.995,0.19919,0.36353,1.20584,0.00026733,0.00026733,0.00026733
24,761.38,0.56491,0.52735,1.4748,0.97862,1,0.995,0.995,0.28366,0.39997,1.30849,0.000265845,0.000265845,0.000265845
25,793.665,0.52621,0.48077,1.48471,0.97856,1,0.995,0.92067,0.30677,0.42895,1.31446,0.00026436,0.00026436,0.00026436
26,825.439,0.57178,0.5212,1.46009,0.97852,1,0.995,0.92068,0.31459,0.42839,1.30205,0.000262875,0.000262875,0.000262875
27,856.283,0.56979,0.52406,1.46349,0.97857,1,0.995,0.995,0.30959,0.43309,1.29471,0.00026139,0.00026139,0.00026139
