epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,167.982,1.21403,1.45131,1.27788,0.94024,0.72378,0.81553,0.66855,0.65881,1.0799,0.99991,0.0672951,8.19672e-05,8.19672e-05
2,343.823,1.0657,1.0193,1.22893,0.89996,1,0.995,0.93133,0.61078,0.52541,1.01917,0.0340437,0.000163937,0.000163937
3,530.923,1.01745,0.91707,1.27792,0.97662,1,0.995,0.93373,0.57729,0.43908,0.98076,0.00079098,0.000244531,0.000244531
4,721.194,0.99096,0.81475,1.21151,0.99049,1,0.995,0.95105,0.5728,0.41679,0.95948,0.000243812,0.000243812,0.000243812
5,925.194,0.94866,0.83249,1.22889,0.97949,1,0.995,0.96821,0.47562,0.39163,0.95443,0.00024175,0.00024175,0.00024175
6,1120.75,1.00299,0.78527,1.26971,0.9781,1,0.995,0.92841,0.61413,0.38915,0.95757,0.000239687,0.000239687,0.000239687
7,1308.12,0.94921,0.72085,1.17526,0.97374,1,0.995,0.95462,0.54271,0.40943,0.9242,0.000237625,0.000237625,0.000237625
8,1510.16,0.96419,0.73786,1.19773,0.97026,1,0.995,0.95649,0.46051,0.37817,0.92081,0.000235563,0.000235563,0.000235563
9,1687.58,0.91265,0.69783,1.2022,0.97136,1,0.995,0.95158,0.50804,0.37558,0.93524,0.0002335,0.0002335,0.0002335
10,1869.2,0.89211,0.69637,1.2092,0.96175,1,0.995,0.92846,0.58154,0.3688,0.98545,0.000231438,0.000231438,0.000231438
11,2030.84,0.89057,0.66341,1.15348,0.97331,1,0.995,0.93769,0.55763,0.35145,0.98422,0.000229375,0.000229375,0.000229375
12,2211.61,0.89432,0.6539,1.2541,0.96727,1,0.995,0.96725,0.45781,0.35898,0.97537,0.000227313,0.000227313,0.000227313
13,2380.37,0.91165,0.67472,1.22211,0.96518,1,0.995,0.95175,0.58837,0.36953,0.99781,0.00022525,0.00022525,0.00022525
14,2542.81,0.87802,0.63002,1.24583,0.94922,1,0.995,0.94578,0.62343,0.37698,1.00007,0.000223187,0.000223187,0.000223187
15,2704.3,0.83881,0.61258,1.14882,0.95406,1,0.995,0.96159,0.50797,0.34647,0.97737,0.000221125,0.000221125,0.000221125
16,2859.56,0.91935,0.65267,1.18889,0.96333,1,0.995,0.952,0.56268,0.34848,0.973,0.000219062,0.000219062,0.000219062
17,3018.72,0.84222,0.58459,1.16188,0.98613,1,0.995,0.9625,0.46223,0.32163,0.95364,0.000217,0.000217,0.000217
