epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.9619,1.5284,1.29287,1.34105,0.8769,1,0.93944,0.81851,0.70129,0.81856,0.84037,0.067225,8.21429e-05,8.21429e-05
2,120.853,1.21024,1.10853,1.13351,0.86572,1,0.88444,0.80173,0.57213,0.5227,0.76859,0.0339736,0.000164111,0.000164111
3,194.616,1.35061,1.07656,1.22721,0.87904,1,0.88444,0.82512,0.5319,0.50828,0.75282,0.000720895,0.000244704,0.000244704
4,246.883,1.2492,0.89255,1.18517,0.87917,1,0.88444,0.84282,0.52413,0.49984,0.74611,0.000243812,0.000243812,0.000243812
5,308.166,1.18681,0.85309,1.20415,0.87957,1,0.91167,0.86833,0.5163,0.47524,0.74207,0.00024175,0.00024175,0.00024175
6,362.995,1.14478,0.78573,1.16887,0.9198,1,0.995,0.941,0.47731,0.44084,0.72946,0.000239687,0.000239687,0.000239687
7,431.409,1.20236,0.81065,1.2236,0.95848,1,0.995,0.95227,0.47743,0.41422,0.72726,0.000237625,0.000237625,0.000237625
8,494.57,1.26892,0.83035,1.11218,0.97292,1,0.995,0.96584,0.47012,0.383,0.72524,0.000235563,0.000235563,0.000235563
9,555.594,1.27305,0.80536,1.27111,0.97312,1,0.995,0.96584,0.45452,0.36523,0.71967,0.0002335,0.0002335,0.0002335
10,611.655,1.25898,0.95733,1.21666,0.97425,1,0.995,0.96784,0.41715,0.33912,0.7102,0.000231438,0.000231438,0.000231438
11,670.055,1.05969,0.64122,1.13854,0.97544,1,0.995,0.95925,0.42145,0.32257,0.71238,0.000229375,0.000229375,0.000229375
12,730.097,1.12304,0.67746,1.17881,0.97479,1,0.995,0.9551,0.42765,0.31321,0.71534,0.000227313,0.000227313,0.000227313
13,783.436,0.96876,0.6189,1.04223,0.97022,1,0.995,0.9551,0.43472,0.33627,0.71938,0.00022525,0.00022525,0.00022525
14,840.971,1.00757,0.62005,1.02963,0.97886,1,0.995,0.9551,0.41519,0.31113,0.71714,0.000223187,0.000223187,0.000223187
15,899.539,1.0035,0.59716,1.19223,0.97796,1,0.995,0.97799,0.39115,0.3021,0.71646,0.000221125,0.000221125,0.000221125
16,955.913,0.9175,0.57792,1.04609,0.9857,1,0.995,0.98785,0.38531,0.28288,0.72156,0.000219062,0.000219062,0.000219062
17,1013.84,1.06123,0.66385,1.1594,0.98934,1,0.995,0.995,0.37334,0.26121,0.72167,0.000217,0.000217,0.000217
18,1073.68,0.90481,0.53558,1.09394,0.99158,1,0.995,0.98623,0.363,0.25306,0.7279,0.000214938,0.000214938,0.000214938
19,1132.98,0.97501,0.57115,1.15143,0.99045,1,0.995,0.98785,0.36451,0.25043,0.72304,0.000212875,0.000212875,0.000212875
20,1188.38,1.02046,0.62691,1.16609,0.99285,1,0.995,0.97867,0.36419,0.23374,0.72909,0.000210813,0.000210813,0.000210813
21,1246.96,1.0019,0.60282,1.14606,0.99295,1,0.995,0.97867,0.37192,0.23176,0.72228,0.00020875,0.00020875,0.00020875
22,1302.25,1.04115,0.64321,1.12695,0.99017,1,0.995,0.97867,0.39347,0.23212,0.71642,0.000206688,0.000206688,0.000206688
23,1367.07,0.99047,0.56716,1.04753,0.98709,1,0.995,0.97695,0.39693,0.24494,0.71556,0.000204625,0.000204625,0.000204625
24,1421.96,0.92378,0.55648,1.01139,0.97951,1,0.995,0.95133,0.43091,0.27928,0.72307,0.000202562,0.000202562,0.000202562
25,1478.37,0.84792,0.4877,1.07545,0.97598,1,0.995,0.98737,0.42039,0.27818,0.71627,0.0002005,0.0002005,0.0002005
26,1537.58,0.9645,0.54967,1.06678,0.97207,1,0.995,0.97066,0.4273,0.29198,0.71508,0.000198437,0.000198437,0.000198437
27,1591.88,1.05857,0.59329,1.11136,0.96403,1,0.995,0.98574,0.39791,0.2904,0.70363,0.000196375,0.000196375,0.000196375
28,1652.58,0.99825,0.67022,1.07024,0.95375,1,0.995,0.995,0.3533,0.29842,0.6897,0.000194313,0.000194313,0.000194313
29,1706.74,1.07271,0.59885,1.17309,0.9615,1,0.995,0.98574,0.35324,0.28124,0.69049,0.00019225,0.00019225,0.00019225
30,1760.46,0.98206,0.59421,1.18409,0.96406,1,0.995,0.98737,0.33938,0.27597,0.6865,0.000190187,0.000190187,0.000190187
31,1813.7,0.97962,0.5589,1.23275,0.96437,1,0.995,0.98697,0.33512,0.28055,0.68472,0.000188125,0.000188125,0.000188125
32,1866.38,1.01725,0.60948,1.04843,0.95894,1,0.995,0.96576,0.35929,0.28753,0.68916,0.000186063,0.000186063,0.000186063
33,1915.79,0.96241,0.55622,1.1328,0.97066,1,0.995,0.93399,0.43144,0.28416,0.712,0.000184,0.000184,0.000184
34,1970.77,1.07744,0.66844,1.14407,0.972,1,0.995,0.94394,0.42711,0.27776,0.71205,0.000181937,0.000181937,0.000181937
35,2020.79,1.05586,0.56551,1.07923,0.98597,1,0.995,0.94308,0.44223,0.26099,0.72086,0.000179875,0.000179875,0.000179875
36,2071.75,1.06651,0.53864,1.17396,0.98811,1,0.995,0.94498,0.41523,0.25301,0.71504,0.000177812,0.000177812,0.000177812
37,2125.05,0.9364,0.53574,1.07118,0.98575,1,0.995,0.96655,0.39199,0.25202,0.70754,0.00017575,0.00017575,0.00017575
38,2173.7,0.88785,0.49336,1.02051,0.99002,1,0.995,0.995,0.36129,0.24227,0.69953,0.000173687,0.000173687,0.000173687
39,2224.59,1.00117,0.53455,1.29399,0.9921,1,0.995,0.995,0.33943,0.23309,0.69565,0.000171625,0.000171625,0.000171625
40,2276.45,1.05352,0.56312,1.06701,0.98902,1,0.995,0.995,0.32888,0.2437,0.69276,0.000169563,0.000169563,0.000169563
41,2324.96,0.90457,0.49879,0.96979,0.98082,1,0.995,0.995,0.32099,0.24751,0.68767,0.0001675,0.0001675,0.0001675
42,2375.48,0.86785,0.47293,1.03342,0.98977,1,0.995,0.995,0.32729,0.22907,0.69148,0.000165438,0.000165438,0.000165438
43,2423.48,0.90125,0.50364,1.12878,0.99032,1,0.995,0.995,0.39346,0.24026,0.70461,0.000163375,0.000163375,0.000163375
44,2476.31,0.92989,0.52412,1.07145,0.98726,1,0.995,0.96576,0.42275,0.25476,0.71345,0.000161312,0.000161312,0.000161312
45,2523.82,0.93615,0.48662,1.08247,0.98743,1,0.995,0.94495,0.43718,0.24752,0.71613,0.00015925,0.00015925,0.00015925
46,2572.39,0.93044,0.50379,1.11409,0.98824,1,0.995,0.95847,0.42368,0.26219,0.71068,0.000157188,0.000157188,0.000157188
47,2621.78,0.91917,0.49869,1.05814,0.98944,1,0.995,0.95086,0.3983,0.25206,0.70381,0.000155125,0.000155125,0.000155125
48,2672.46,0.86895,0.49198,0.9765,0.98764,1,0.995,0.98262,0.37413,0.26184,0.69899,0.000153063,0.000153063,0.000153063
49,2720.57,0.95968,0.56568,1.04589,0.99025,1,0.995,0.98262,0.36376,0.2339,0.69735,0.000151,0.000151,0.000151
50,2769.45,1.01656,0.51158,1.12961,0.9888,1,0.995,0.97263,0.35398,0.24489,0.69433,0.000148938,0.000148938,0.000148938
51,2819.33,0.92777,0.49019,1.10814,0.99212,1,0.995,0.97799,0.34458,0.22043,0.69649,0.000146875,0.000146875,0.000146875
52,2866.99,0.90087,0.47698,1.03768,0.99268,1,0.995,0.97799,0.33662,0.21597,0.69531,0.000144812,0.000144812,0.000144812
53,2918.15,0.92002,0.51359,1.04229,0.99243,1,0.995,0.995,0.33415,0.2081,0.69219,0.00014275,0.00014275,0.00014275
54,2965.93,0.9441,0.54042,1.17412,0.99318,1,0.995,0.995,0.34479,0.19734,0.69429,0.000140687,0.000140687,0.000140687
